date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:15	23/23	---M--	200	added ('OK')	text/plain	etag:%2259a71597-17%22	https://www.convertworld.com/robots.txt		(from )
20:05:16	195465/195465	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:13%20GMT	https://www.convertworld.com/pt/	website/convertworld/www.convertworld.com/pt/index.html	(from )
20:05:20	174933/174933	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:16%20GMT	https://www.convertworld.com/pt/moeda/	website/convertworld/www.convertworld.com/pt/moeda/index.html	(from https://www.convertworld.com/pt/)
20:05:54	49167/49167	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:14%20GMT	https://www.convertworld.com/pt/area/	website/convertworld/www.convertworld.com/pt/area/index.html	(from https://www.convertworld.com/pt/)
20:05:54	46132/46132	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:14%20GMT	https://www.convertworld.com/pt/comprimento/	website/convertworld/www.convertworld.com/pt/comprimento/index.html	(from https://www.convertworld.com/pt/)
20:05:55	52261/52261	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:15%20GMT	https://www.convertworld.com/pt/massa/	website/convertworld/www.convertworld.com/pt/massa/index.html	(from https://www.convertworld.com/pt/)
20:05:55	40932/40932	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:18%20GMT	https://www.convertworld.com/pt/numerais/	website/convertworld/www.convertworld.com/pt/numerais/index.html	(from https://www.convertworld.com/pt/)
20:05:56	44154/44154	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:54%20GMT	https://www.convertworld.com/pt/pressao/	website/convertworld/www.convertworld.com/pt/pressao/index.html	(from https://www.convertworld.com/pt/)
20:05:56	50403/50403	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:54%20GMT	https://www.convertworld.com/pt/area/km2.html	website/convertworld/www.convertworld.com/pt/area/km2.html	(from https://www.convertworld.com/pt/area/)
20:05:56	48816/48816	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:54%20GMT	https://www.convertworld.com/pt/tamanho-do-calcado/	website/convertworld/www.convertworld.com/pt/tamanho-do-calcado/index.html	(from https://www.convertworld.com/pt/)
20:05:56	50062/50062	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:54%20GMT	https://www.convertworld.com/pt/area/hectare.html	website/convertworld/www.convertworld.com/pt/area/hectare.html	(from https://www.convertworld.com/pt/area/)
20:05:57	51394/51394	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:54%20GMT	https://www.convertworld.com/pt/traducao/	website/convertworld/www.convertworld.com/pt/traducao/index.html	(from https://www.convertworld.com/pt/)
20:05:57	49499/49499	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:55%20GMT	https://www.convertworld.com/pt/area/are.html	website/convertworld/www.convertworld.com/pt/area/are.html	(from https://www.convertworld.com/pt/area/)
20:05:57	40701/40701	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:54%20GMT	https://www.convertworld.com/pt/velocidade/	website/convertworld/www.convertworld.com/pt/velocidade/index.html	(from https://www.convertworld.com/pt/)
20:05:57	53735/53735	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:55%20GMT	https://www.convertworld.com/pt/volume/	website/convertworld/www.convertworld.com/pt/volume/index.html	(from https://www.convertworld.com/pt/)
20:05:57	50499/50499	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:55%20GMT	https://www.convertworld.com/pt/area/m2.html	website/convertworld/www.convertworld.com/pt/area/m2.html	(from https://www.convertworld.com/pt/area/)
20:05:58	40945/40945	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:55%20GMT	https://www.convertworld.com/pt/armazenagem-de-dados/	website/convertworld/www.convertworld.com/pt/armazenagem-de-dados/index.html	(from https://www.convertworld.com/pt/)
20:05:58	50199/50199	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:56%20GMT	https://www.convertworld.com/pt/area/dm2.html	website/convertworld/www.convertworld.com/pt/area/dm2.html	(from https://www.convertworld.com/pt/area/)
20:05:58	57902/57902	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:56%20GMT	https://www.convertworld.com/pt/largura-de-banda/	website/convertworld/www.convertworld.com/pt/largura-de-banda/index.html	(from https://www.convertworld.com/pt/)
20:05:58	38210/38210	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:56%20GMT	https://www.convertworld.com/pt/desintegracao-radioativa/	website/convertworld/www.convertworld.com/pt/desintegracao-radioativa/index.html	(from https://www.convertworld.com/pt/)
20:05:59	50387/50387	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:56%20GMT	https://www.convertworld.com/pt/area/cm2.html	website/convertworld/www.convertworld.com/pt/area/cm2.html	(from https://www.convertworld.com/pt/area/)
20:05:59	50235/50235	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:57%20GMT	https://www.convertworld.com/pt/area/mm2.html	website/convertworld/www.convertworld.com/pt/area/mm2.html	(from https://www.convertworld.com/pt/area/)
20:05:59	36221/36221	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:57%20GMT	https://www.convertworld.com/pt/dose-absorvida/	website/convertworld/www.convertworld.com/pt/dose-absorvida/index.html	(from https://www.convertworld.com/pt/)
20:05:59	38967/38967	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:57%20GMT	https://www.convertworld.com/pt/dose-equivalente/	website/convertworld/www.convertworld.com/pt/dose-equivalente/index.html	(from https://www.convertworld.com/pt/)
20:06:00	50267/50267	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:57%20GMT	https://www.convertworld.com/pt/area/um2.html	website/convertworld/www.convertworld.com/pt/area/um2.html	(from https://www.convertworld.com/pt/area/)
20:06:00	39787/39787	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:58%20GMT	https://www.convertworld.com/pt/carga-electrica/	website/convertworld/www.convertworld.com/pt/carga-electrica/index.html	(from https://www.convertworld.com/pt/)
20:06:00	44145/44145	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:58%20GMT	https://www.convertworld.com/pt/capacitancia/	website/convertworld/www.convertworld.com/pt/capacitancia/index.html	(from https://www.convertworld.com/pt/)
20:06:00	38879/38879	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:58%20GMT	https://www.convertworld.com/pt/condutancia-eletrica/	website/convertworld/www.convertworld.com/pt/condutancia-eletrica/index.html	(from https://www.convertworld.com/pt/)
20:06:00	50211/50211	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:58%20GMT	https://www.convertworld.com/pt/area/nm2.html	website/convertworld/www.convertworld.com/pt/area/nm2.html	(from https://www.convertworld.com/pt/area/)
20:06:01	38654/38654	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:58%20GMT	https://www.convertworld.com/pt/corrente-eletrica/	website/convertworld/www.convertworld.com/pt/corrente-eletrica/index.html	(from https://www.convertworld.com/pt/)
20:06:01	49901/49901	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:59%20GMT	https://www.convertworld.com/pt/area/municipio.html	website/convertworld/www.convertworld.com/pt/area/municipio.html	(from https://www.convertworld.com/pt/area/)
20:06:01	37948/37948	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:59%20GMT	https://www.convertworld.com/pt/indutancia/	website/convertworld/www.convertworld.com/pt/indutancia/index.html	(from https://www.convertworld.com/pt/)
20:06:01	50176/50176	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:59%20GMT	https://www.convertworld.com/pt/area/milha-quadrada.html	website/convertworld/www.convertworld.com/pt/area/milha-quadrada.html	(from https://www.convertworld.com/pt/area/)
20:06:02	39427/39427	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:02:59%20GMT	https://www.convertworld.com/pt/potencial-eletrico/	website/convertworld/www.convertworld.com/pt/potencial-eletrico/index.html	(from https://www.convertworld.com/pt/)
20:06:02	49908/49908	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:00%20GMT	https://www.convertworld.com/pt/area/granja.html	website/convertworld/www.convertworld.com/pt/area/granja.html	(from https://www.convertworld.com/pt/area/)
20:06:02	38812/38812	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:00%20GMT	https://www.convertworld.com/pt/resistencia-eletrica/	website/convertworld/www.convertworld.com/pt/resistencia-eletrica/index.html	(from https://www.convertworld.com/pt/)
20:06:02	39856/39856	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:00%20GMT	https://www.convertworld.com/pt/consumo-de-combustivel/	website/convertworld/www.convertworld.com/pt/consumo-de-combustivel/index.html	(from https://www.convertworld.com/pt/)
20:06:03	49590/49590	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:00%20GMT	https://www.convertworld.com/pt/area/acre.html	website/convertworld/www.convertworld.com/pt/area/acre.html	(from https://www.convertworld.com/pt/area/)
20:06:03	39653/39653	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:00%20GMT	https://www.convertworld.com/pt/energia/	website/convertworld/www.convertworld.com/pt/energia/index.html	(from https://www.convertworld.com/pt/)
20:06:03	49610/49610	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:01%20GMT	https://www.convertworld.com/pt/area/rood.html	website/convertworld/www.convertworld.com/pt/area/rood.html	(from https://www.convertworld.com/pt/area/)
20:06:03	41334/41334	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:01%20GMT	https://www.convertworld.com/pt/potencia/	website/convertworld/www.convertworld.com/pt/potencia/index.html	(from https://www.convertworld.com/pt/)
20:06:04	50112/50112	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:01%20GMT	https://www.convertworld.com/pt/area/rod-quadrada.html	website/convertworld/www.convertworld.com/pt/area/rod-quadrada.html	(from https://www.convertworld.com/pt/area/)
20:06:04	36174/36174	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:01%20GMT	https://www.convertworld.com/pt/temperatura/	website/convertworld/www.convertworld.com/pt/temperatura/index.html	(from https://www.convertworld.com/pt/)
20:06:04	49768/49768	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:02%20GMT	https://www.convertworld.com/pt/area/quadrado.html	website/convertworld/www.convertworld.com/pt/area/quadrado.html	(from https://www.convertworld.com/pt/area/)
20:06:04	36340/36340	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:02%20GMT	https://www.convertworld.com/pt/energia-luminosa/	website/convertworld/www.convertworld.com/pt/energia-luminosa/index.html	(from https://www.convertworld.com/pt/)
20:06:04	50216/50216	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:02%20GMT	https://www.convertworld.com/pt/area/terreno-quadrado.html	website/convertworld/www.convertworld.com/pt/area/terreno-quadrado.html	(from https://www.convertworld.com/pt/area/)
20:06:05	35947/35947	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:02%20GMT	https://www.convertworld.com/pt/fluxo-luminoso/	website/convertworld/www.convertworld.com/pt/fluxo-luminoso/index.html	(from https://www.convertworld.com/pt/)
20:06:05	50147/50147	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:03%20GMT	https://www.convertworld.com/pt/area/pe-quadrado.html	website/convertworld/www.convertworld.com/pt/area/pe-quadrado.html	(from https://www.convertworld.com/pt/area/)
20:06:05	38172/38172	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:03%20GMT	https://www.convertworld.com/pt/iluminancia/	website/convertworld/www.convertworld.com/pt/iluminancia/index.html	(from https://www.convertworld.com/pt/)
20:06:05	50231/50231	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:03%20GMT	https://www.convertworld.com/pt/area/polegada-quadrada.html	website/convertworld/www.convertworld.com/pt/area/polegada-quadrada.html	(from https://www.convertworld.com/pt/area/)
20:06:06	36372/36372	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:03%20GMT	https://www.convertworld.com/pt/intensidade-luminosa/	website/convertworld/www.convertworld.com/pt/intensidade-luminosa/index.html	(from https://www.convertworld.com/pt/)
20:06:06	37479/37479	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:04%20GMT	https://www.convertworld.com/pt/luminancia/	website/convertworld/www.convertworld.com/pt/luminancia/index.html	(from https://www.convertworld.com/pt/)
20:06:06	49615/49615	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:04%20GMT	https://www.convertworld.com/pt/area/tsubo.html	website/convertworld/www.convertworld.com/pt/area/tsubo.html	(from https://www.convertworld.com/pt/area/)
20:06:06	39924/39924	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:04%20GMT	https://www.convertworld.com/pt/densidade-do-fluxo-magnetico/	website/convertworld/www.convertworld.com/pt/densidade-do-fluxo-magnetico/index.html	(from https://www.convertworld.com/pt/)
20:06:07	49465/49465	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:04%20GMT	https://www.convertworld.com/pt/area/cho.html	website/convertworld/www.convertworld.com/pt/area/cho.html	(from https://www.convertworld.com/pt/area/)
20:06:07	38739/38739	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:04%20GMT	https://www.convertworld.com/pt/fluxo-de-inducao-magnetica/	website/convertworld/www.convertworld.com/pt/fluxo-de-inducao-magnetica/index.html	(from https://www.convertworld.com/pt/)
20:06:07	49536/49536	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:05%20GMT	https://www.convertworld.com/pt/area/tann.html	website/convertworld/www.convertworld.com/pt/area/tann.html	(from https://www.convertworld.com/pt/area/)
20:06:07	35899/35899	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:05%20GMT	https://www.convertworld.com/pt/forca-magnetomotiva/	website/convertworld/www.convertworld.com/pt/forca-magnetomotiva/index.html	(from https://www.convertworld.com/pt/)
20:06:07	49404/49404	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:05%20GMT	https://www.convertworld.com/pt/area/se.html	website/convertworld/www.convertworld.com/pt/area/se.html	(from https://www.convertworld.com/pt/area/)
20:06:08	37260/37260	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:05%20GMT	https://www.convertworld.com/pt/inducao-magnetica/	website/convertworld/www.convertworld.com/pt/inducao-magnetica/index.html	(from https://www.convertworld.com/pt/)
20:06:08	43692/43692	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:06%20GMT	https://www.convertworld.com/pt/forca/	website/convertworld/www.convertworld.com/pt/forca/index.html	(from https://www.convertworld.com/pt/)
20:06:08	50208/50208	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:06%20GMT	https://www.convertworld.com/pt/area/dunam-metrico.html	website/convertworld/www.convertworld.com/pt/area/dunam-metrico.html	(from https://www.convertworld.com/pt/area/)
20:06:08	46406/46406	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:06%20GMT	https://www.convertworld.com/pt/imc/	website/convertworld/www.convertworld.com/pt/imc/index.html	(from https://www.convertworld.com/pt/)
20:06:09	41437/41437	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:07%20GMT	https://www.convertworld.com/pt/torque/	website/convertworld/www.convertworld.com/pt/torque/index.html	(from https://www.convertworld.com/pt/)
20:06:09	50283/50283	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:06%20GMT	https://www.convertworld.com/pt/area/dunam-cipriota.html	website/convertworld/www.convertworld.com/pt/area/dunam-cipriota.html	(from https://www.convertworld.com/pt/area/)
20:06:09	37054/37054	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:07%20GMT	https://www.convertworld.com/pt/aceleracao/	website/convertworld/www.convertworld.com/pt/aceleracao/index.html	(from https://www.convertworld.com/pt/)
20:06:09	54909/54909	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:07%20GMT	https://www.convertworld.com/pt/corrida/	website/convertworld/www.convertworld.com/pt/corrida/index.html	(from https://www.convertworld.com/pt/)
20:06:10	50158/50158	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:07%20GMT	https://www.convertworld.com/pt/area/dunam-iraquiano.html	website/convertworld/www.convertworld.com/pt/area/dunam-iraquiano.html	(from https://www.convertworld.com/pt/area/)
20:06:10	45033/45033	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:07%20GMT	https://www.convertworld.com/pt/velocidade-do-vento/	website/convertworld/www.convertworld.com/pt/velocidade-do-vento/index.html	(from https://www.convertworld.com/pt/)
20:06:10	50339/50339	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Nov%202021%2023:03:08%20GMT	https://www.convertworld.com/pt/area/campo-de-futebol.html	website/convertworld/www.convertworld.com/pt/area/campo-de-futebol.html	(from https://www.convertworld.com/pt/area/)
